,merchant,category,amt,gender,street,city,state,zip,lat,long,city_pop,job,unix_time,age,month,year,is_fraud
20,Heathcote Yost  Kertzmann,shopping_net,1077.69,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1371854335,30,6,2020,1
21,Kiehn Emmerich,grocery_pos,84.54,F,17667 Price Spur Apt. 366,Glen Rock,PA,17327,39.7813,-76.7477,7565,Insurance claims handler,1338096514,72,5,2019,0
22,Reichert Huels  Hoppe,shopping_net,6.68,F,67632 Martin Gateway,Fordoche,LA,70732,30.6576,-91.6264,1178,Community education officer,1387502779,73,12,2020,0
23,Kunde Sanford,misc_net,859.89,F,20788 Johnson Crest,Wartburg,TN,37887,36.1016,-84.5652,7511,Further education lecturer,1367618457,81,5,2020,1
24,Monahan Morar,personal_care,9.26,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1363555675,40,3,2020,0
25,Stoltenberg Beatty,shopping_pos,180.51,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1340290611,43,6,2019,0
26,Watsica LLC,personal_care,11.22,F,7320 Jennifer Forges,Queenstown,MD,21658,39.0026,-76.1424,3862,Maintenance engineer,1342211089,62,7,2019,0
27,Koss Mc Laughlin  Mayer,food_dining,66.49,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1340289339,52,6,2019,0
28,Kuhic Inc,grocery_pos,319.18,F,755 Solis Isle Suite 075,New Memphis,IL,62266,38.4857,-89.6816,254,Magazine journalist,1328490270,72,2,2019,1
29,Langworth Boehm  Gulgowski,shopping_net,904.86,F,47035 Murray Harbors,Achille,OK,74720,33.8396,-96.3648,608,Seismic interpreter,1367543400,31,5,2020,1
30,Goyette Howell  Collier,shopping_pos,1288.29,M,1339 Johnson Landing Suite 007,De Lancey,NY,13752,42.18899999999999,-74.9229,782,Chartered accountant,1338761907,24,6,2019,1
31,Kihn Abernathy  Douglas,shopping_net,1147.88,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1384985338,27,11,2020,1
32,Schimmel Olson,kids_pets,2.37,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,Engineer,1366556723,68,4,2020,0
33,Lind Buckridge,entertainment,88.03,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,1377695207,28,8,2020,0
34,Sawayn PLC,shopping_pos,8.31,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,1341852893,54,7,2019,0
35,Bernier Volkman  Hoeger,misc_net,1013.12,M,25748 John Wells,Mooresville,NC,28117,35.584,-80.8685,69793,Control and instrumentation engineer,1369781016,71,5,2020,1
36,Conroy Cruickshank,gas_transport,21.96,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1383793580,88,11,2020,1
37,Friesen Ltd,health_fitness,22.1,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1366841547,43,4,2020,1
38,Jast Mc Dermott,shopping_pos,138.15,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,1383363692,48,11,2020,0
39,Emard Inc,gas_transport,73.0,M,27718 Mason Bypass,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,1384054818,50,11,2020,0
40,Huel Hammes  Witting,grocery_pos,359.26,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1372635952,84,6,2020,1
41,Hills Witting,shopping_net,825.32,F,914 Nancy Square,Birmingham,AL,35211,33.4816,-86.859,493806,Operational investment banker,1378423091,24,9,2020,1
42,Moore Dibbert  Koepp,misc_net,4.65,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1379430592,37,9,2020,0
43,Kovacek Dibbert  Ondricka,grocery_pos,284.76,F,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1381803875,25,10,2020,1
44,Vervort Funk,grocery_pos,281.57,M,1166 Castillo Mountains,Ruckersville,VA,22968,38.2586,-78.4074,9815,Designer,1360369749,49,2,2020,1
45,Kihn Fritsch,food_dining,3.79,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1338414733,27,5,2019,0
46,Stehr Jewess  Schimmel,misc_net,709.0,M,2161 Blankenship Freeway,West Hartford,VT,5084,43.7185,-72.4439,140,Development worker,1369956299,35,5,2020,1
47,Gleason Macejkovic,shopping_net,872.79,F,195 Murray Overpass Apt. 384,Winter,WI,54896,45.8327,-91.0144,1478,Neurosurgeon,1333664316,59,4,2019,1
48,Beer Jast,kids_pets,19.41,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1365190459,43,4,2020,0
49,Kirlin  Sons,personal_care,19.49,F,79209 Gary Dale,Colton,WA,99113,46.5901,-117.1692,761,Chief Marketing Officer,1369514920,81,5,2020,0
50,Streich Hansen  Veum,gas_transport,11.44,M,0371 Aimee Neck Suite 856,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,1346460321,45,9,2019,1
51,Ankunding LLC,shopping_net,911.85,F,674 Maureen Summit Apt. 276,Scotts Mills,OR,97375,44.9897,-122.6187,1252,Engineer,1342309100,87,7,2019,1
52,Morissette Schaefer,personal_care,7.66,F,1898 Parker Fork Apt. 057,Redford,MO,63665,37.3272,-91.0243,241,Investment analyst,1345242535,50,8,2019,0
53,Medhurst Cartwright  Ebert,personal_care,20.79,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1331396698,25,3,2019,0
54,Bartoletti Wunsch,gas_transport,10.34,M,8088 Sherman Radial Suite 689,Helm,CA,93627,36.4992,-120.0936,123,Early years teacher,1347329126,51,9,2019,1
55,Schroeder Group,health_fitness,14.26,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1339776603,34,6,2019,0
56,Luettgen PLC,gas_transport,50.81,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional,1345077115,30,8,2019,0
57,Schuppe LLC,entertainment,580.75,F,43075 Cohen Shoals,Ashford,WA,98304,46.7531,-121.9898,759,Video editor,1363389916,68,3,2020,1
58,Cremin Hamill  Reichel,misc_pos,4.17,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.5354,-95.4532,4993,Scientist,1354242208,76,11,2019,0
59,Kassulke PLC,shopping_net,107.09,M,025 White Fork Apt. 633,Rock Glen,PA,18246,40.954,-76.1747,143,Health and safety adviser,1352885003,42,11,2019,0
60,Luettgen PLC,gas_transport,110.04,F,292 Lowe Dam Suite 858,West Palm Beach,FL,33417,26.7197,-80.1248,459921,Historic buildings inspector,1342920319,64,7,2019,0
61,Rau Grant,kids_pets,63.68,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1344787247,42,8,2019,0
62,Flatley Durgan,misc_net,680.0,F,5124 Wendy Skyway Suite 154,Karns City,PA,16041,41.0022,-79.71600000000001,1888,Ship broker,1354924112,25,12,2019,1
63,Olson Becker  Koch,gas_transport,86.54,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1366783201,43,4,2020,0
64,Rohan White  Aufderhar,misc_net,742.7,M,33165 Larry Walks Suite 960,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,1344567520,26,8,2019,1
65,Doyle Ltd,grocery_pos,294.73,M,709 George Underpass Apt. 080,West Decatur,PA,16878,40.9493,-78.3129,1762,Armed forces logistics,1361932001,62,2,2020,1
66,Stanton Jakubowski  Baumbach,shopping_net,816.2,M,949 Smith Parkway,Cazenovia,WI,53924,43.4987,-90.2796,1360,Occupational hygienist,1383603380,40,11,2020,1
67,Robel Cummerata  Prosacco,gas_transport,48.53,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,Psychologist,1359166856,26,1,2020,0
68,Osinski Ledner  Leuschke,grocery_pos,344.74,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1372493800,72,6,2020,1
69,Stroman Hudson  Erdman,gas_transport,40.34,M,956 Sanchez Highway,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,1374651696,98,7,2020,0
70,Kuhic Inc,grocery_pos,347.22,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,1355273627,35,12,2019,1
71,Bahringer Osinski  Block,food_dining,37.75,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1384176093,39,11,2020,0
72,Du Buque LLC,grocery_pos,170.97,F,99736 Rose Shoals Apt. 504,Morrisdale,PA,16858,41.0001,-78.2357,3688,Dispensing optician,1333418764,37,4,2019,0
73,Gottlieb Group,kids_pets,14.55,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1335128626,50,4,2019,0
74,Towne LLC,misc_pos,6.54,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1329212742,56,2,2019,0
75,Cronin Kshlerin  Weber,health_fitness,42.49,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,1371857685,62,6,2020,0
76,Gleason Macejkovic,shopping_net,970.96,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1339322948,33,6,2019,1
77,Swaniawski Lowe  Robel,shopping_pos,7.13,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1347708225,88,9,2019,0
78,Effertz Welch  Schowalter,entertainment,96.86,M,1339 Johnson Landing Suite 007,De Lancey,NY,13752,42.18899999999999,-74.9229,782,Chartered accountant,1338056652,24,5,2019,0
79,Feil Hilpert  Koss,food_dining,145.21,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1368313335,50,5,2020,1
80,Torphy Kertzmann,health_fitness,1.13,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1366202574,82,4,2020,0
81,Schroeder Hauck  Treutel,entertainment,48.26,F,75533 Tamara Valleys,Logan,IL,62856,37.9943,-88.9417,324,Scientist,1373717500,48,7,2020,0
82,Heathcote LLC,shopping_net,3.37,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,Engineer,1363926876,68,3,2020,0
83,Kuvalis Ltd,gas_transport,88.51,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1381799790,51,10,2020,0
84,Hills Olson,grocery_net,87.78,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,Psychologist,1373607467,36,7,2020,0
85,Towne Greenholt  Koepp,shopping_net,875.26,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,Exhibitions officer,1340324624,29,6,2019,1
86,Heaney Marquardt,entertainment,537.37,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1346719665,43,9,2019,1
87,Rutherford Mertz,grocery_pos,107.47,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,Engineer,1359337766,35,1,2020,0
88,Walter Hettinger  Kessler,personal_care,80.44,M,5323 Walker Island,Pittsburgh,PA,15217,40.4308,-79.9205,687276,Scientist,1331502301,51,3,2019,0
89,Gutmann Mc Laughlin  Wiza,home,246.18,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1365551780,37,4,2020,1
90,Watsica Haag  Considine,shopping_pos,875.38,M,25713 Hamilton Grove Apt. 903,Beaverdam,OH,45808,40.8314,-83.9758,349,Museum,1354572021,46,12,2019,1
91,Greenholt O'Hara  Balistreri,shopping_net,914.23,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1363212374,31,3,2020,1
92,Huels Nolan,gas_transport,78.27,M,94975 David Mews Apt. 316,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,1369361844,32,5,2020,0
93,Kris Weimann,misc_net,864.74,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,1377557550,79,8,2020,1
94,Pouros Walker  Spencer,kids_pets,7.57,M,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,1326929995,54,1,2019,1
95,Cassin Harvey,grocery_net,50.64,M,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,Engineer,1386589047,89,12,2020,0
96,Kiehn Emmerich,grocery_pos,293.62,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1329618449,60,2,2019,1
97,Block Parisian,misc_net,757.9,M,980 Smith Gardens,Gainesville,TX,76240,33.6547,-97.1583,26120,Engineer,1357257159,70,1,2020,1
98,Abshire PLC,entertainment,584.94,F,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1360620528,96,2,2020,1
99,Reilly Heaney  Cole,gas_transport,47.35,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1364379520,37,3,2020,0
100,Harris Inc,gas_transport,68.13,M,550 Cunningham Squares,Dadeville,AL,36853,32.8224,-85.7704,8269,Minerals surveyor,1347152241,47,9,2019,0
101,Mohr Inc,shopping_pos,923.5,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.5354,-95.4532,4993,Scientist,1349043934,76,9,2019,1
102,Jones Sawayn  Romaguera,misc_net,722.27,F,507 John Overpass Suite 424,Harwood,MD,20776,38.8582,-76.6145,3289,Quantity surveyor,1385421729,91,11,2020,1
103,Harris Inc,gas_transport,45.67,F,193 Catherine Ways,Hills,MN,56138,43.5335,-96.3645,899,Data scientist,1380764965,29,10,2020,0
104,Schmidt Larkin,home,87.85,M,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1386784969,50,12,2020,0
105,Prohaska Murray,gas_transport,14.1,M,93121 Zavala Extensions,Madisonville,LA,70447,30.4287,-90.1773,10150,Commercial horticulturist,1328149257,81,2,2019,1
106,Reichert Rowe  Mraz,shopping_net,1106.41,M,27909 Peter Motorway,Cadiz,KY,42211,36.802,-87.8286,13422,Commissioning editor,1375055046,63,7,2020,1
107,Bednar Inc,travel,9.82,F,7178 Willis Drive,Hooper,NE,68031,41.6414,-96.5232,1745,Engineer,1376610827,51,8,2020,1
108,Miller Hauck,grocery_pos,86.89,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,1331715949,37,3,2019,0
109,Nader Heller,misc_net,772.04,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1355964887,49,12,2019,1
110,Boyer PLC,shopping_net,995.02,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,Therapist,1374361239,78,7,2020,1
111,Hilpert Conroy,kids_pets,20.67,F,204 Ashley Neck Apt. 169,Preston,CT,6365,41.5224,-71.9934,4720,Broadcast presenter,1383259665,47,10,2020,1
112,Wuckert Goldner,home,31.47,F,75533 Tamara Valleys,Logan,IL,62856,37.9943,-88.9417,324,Scientist,1331490644,48,3,2019,0
113,Schmeler Inc,misc_pos,150.9,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1353234662,34,11,2019,0
114,Reichel Bradtke  Bla,travel,5.71,M,135 Joseph Mountains,Sula,MT,59871,45.8433,-113.8748,218,Therapist,1388263750,29,12,2020,0
115,Tillman Fritsch  Schmitt,misc_net,317.08,M,97405 Vazquez Plains,Montgomery,AL,36111,32.3374,-86.2715,214703,Chemist,1346831124,30,9,2019,0
116,Bartoletti  Sons,personal_care,11.07,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1355504304,44,12,2019,0
117,Kozey Kuhlman,personal_care,104.16,F,84079 Thomas Burgs,Tomales,CA,94971,38.2427,-122.9145,337,Occupational psychologist,1330689857,70,3,2019,0
118,Kuhic Inc,grocery_pos,178.42,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1356857082,39,12,2019,0
119,Flatley Durgan,misc_net,888.03,M,7812 Shane Shoals Apt. 607,North Haverhill,NH,3774,44.0978,-72.0191,1966,Structural engineer,1366237817,77,4,2020,1
120,Kirlin  Sons,personal_care,10.15,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing,1360962729,25,2,2020,0
121,Ledner Hartmann  Feest,health_fitness,17.62,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,1371908861,28,6,2020,0
122,Murray Ltd,grocery_net,46.42,M,5155 Mary Common Apt. 927,Utica,PA,16362,41.4798,-79.9403,1102,Garment,1372564784,35,6,2020,0
123,Abbott Steuber,personal_care,100.4,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,1336587935,35,5,2019,0
124,Watsica LLC,personal_care,30.91,F,67632 Martin Gateway,Fordoche,LA,70732,30.6576,-91.6264,1178,Community education officer,1340289933,73,6,2019,0
125,Dickinson Rempel,misc_pos,8.23,M,152 James Centers Apt. 768,Detroit,MI,48221,42.426,-83.15,673342,Retail manager,1332455659,57,3,2019,1
126,Cummings Group,grocery_net,13.57,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1345186609,84,8,2019,1
127,Hudson Ratke,grocery_pos,119.91,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,1327710322,54,1,2019,0
128,Quitzon Goyette,home,59.36,M,663 Anna Plaza,Marienville,PA,16239,41.4622,-79.1306,4172,Copywriter,1342377776,62,7,2019,0
129,Botsford Ltd,shopping_pos,2.16,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist,1387720229,40,12,2020,0
130,Schultz Simonis  Little,grocery_pos,290.01,F,370 Lisa Estate,Morven,NC,28119,34.8511,-80.0025,2801,Regulatory affairs officer,1342056138,63,7,2019,1
131,Pagac LLC,shopping_pos,34.07,F,5517 Stacy Land,Jelm,WY,82063,41.0539,-106.0763,100,Public librarian,1352410640,50,11,2019,0
132,Price Inc,shopping_net,1034.66,F,00315 Ashley Valleys,Burrton,KS,67020,38.0261,-97.6666,1689,Gaffer,1382738964,27,10,2020,1
133,Thiel Thiel,entertainment,76.26,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,Lecturer,1363349730,29,3,2020,0
134,Rohan White  Aufderhar,misc_net,81.4,F,3256 Brooks Field,Eldridge,AL,35554,33.9315,-87.6194,1186,Politician's assistant,1344411081,38,8,2019,0
135,Bahringer Schoen  Corkery,shopping_pos,54.33,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,Physicist,1371861221,70,6,2020,0
136,Hamill Daugherty,misc_net,888.17,M,6340 Jeffrey Dale,Thornville,OH,43076,39.8974,-82.4071,9051,Audiological scientist,1359163647,41,1,2020,1
137,Sawayn PLC,shopping_pos,2.44,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,Administrator,1336879710,85,5,2019,0
138,Hyatt Blick,travel,1.94,F,7535 Amanda Manors Suite 293,Norman,AR,71960,34.4596,-93.6743,1383,Manufacturing engineer,1357943422,25,1,2020,0
139,Bernier Volkman  Hoeger,misc_net,739.85,F,914 Nancy Square,Birmingham,AL,35211,33.4816,-86.859,493806,Operational investment banker,1378255610,24,9,2020,1
140,Altenwerth Cartwright  Koss,shopping_net,919.1,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1384985459,27,11,2020,1
141,Kutch Wilderman,home,250.32,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,Librarian,1371944147,38,6,2020,1
142,Zulauf LLC,personal_care,18.6,M,933 Martin Rapids,Desdemona,TX,76445,32.2819,-98.5673,407,Clothing,1381099083,46,10,2020,1
143,Kassulke Inc,entertainment,474.73,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1377472279,41,8,2020,1
144,Mc Dermott Rice,misc_pos,3.07,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1363755796,67,3,2020,0
145,Kunde Sanford,misc_net,928.08,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,Psychologist,1358028864,40,1,2020,1
146,Stanton Jakubowski  Baumbach,shopping_net,881.39,M,92811 Jared Spur Apt. 345,Melville,NY,11747,40.7946,-73.403,19803,Police officer,1345919594,26,8,2019,1
147,Weber  Sons,food_dining,48.93,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,1345395787,54,8,2019,0
148,Moore Williamson  Emmerich,home,88.85,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477,Naval architect,1350663922,36,10,2019,0
149,Boyer Reichert,shopping_net,5.19,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1349470569,40,10,2019,0
150,Stiedemann Inc,misc_pos,7.12,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,Therapist,1375571377,25,8,2020,1
151,Torphy Goyette,shopping_pos,3.59,F,897 Daugherty Mission,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,1332824373,68,3,2019,0
152,Kihn Abernathy  Douglas,shopping_net,958.91,M,954 Green Wall,Churubusco,IN,46723,41.229,-85.3244,7692,Research officer,1384807280,38,11,2020,1
153,Kassulke Inc,entertainment,612.5,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1334013985,56,4,2019,1
154,Wilkinson Ltd,entertainment,483.28,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,1372562161,40,6,2020,1
155,Eichmann Bogan  Rodriguez,gas_transport,19.04,M,782 Lee Crossing Apt. 209,Weeping Water,NE,68463,40.8731,-96.1528,1517,Dealer,1361243855,73,2,2020,1
156,Schmeler Bashirian  Price,shopping_net,1110.98,M,95488 Cabrera Well,Maria Stein,OH,45860,40.4062,-84.5076,2274,Designer,1380385300,81,9,2020,1
157,Erdman Kertzmann,gas_transport,60.63,M,082 Hernandez Bypass Apt. 886,Quanah,TX,79252,34.2956,-99.7494,3202,Librarian,1336819719,26,5,2019,0
158,Lynch Mohr,travel,9.3,F,7402 West Ranch,Lowell,OR,97452,43.92100000000001,-122.7806,1420,Systems analyst,1376176279,59,8,2020,0
159,Bernier Volkman  Hoeger,misc_net,85.6,F,043 Hanson Turnpike,Hedrick,IA,52563,41.1826,-92.3097,1583,Geochemist,1362848476,25,3,2020,0
160,O'Keefe Hudson,grocery_pos,108.35,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,1377774434,44,8,2020,0
161,Kovacek Dibbert  Ondricka,grocery_pos,34.19,M,1499 Michael Rue,Arlington,VA,22213,38.8954,-77.1633,207410,Mudlogger,1379828281,40,9,2020,0
162,Emard Inc,gas_transport,51.43,F,77944 Daniels Valley Suite 921,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1346372717,65,8,2019,0
163,Dooley Inc,shopping_pos,1012.83,F,8030 Walker Heights,Belle Fourche,SD,57717,44.6723,-103.8396,8007,Hospital pharmacist,1343605518,84,7,2019,1
